UID,name_h,name_e,Index,Rank
,נווה מדבר,NEVE MIDBAR,-2.815,1
1192,ערערה-בנגב,AR'ARA-BANEGEV,-2.535,2
1054,תל שבע,TEL SHEVA,-2.329,3
1059,כסיפה,KUSEIFE,-2.255,4
3797,מודיעין עילית,MODI'IN ILLIT,-2.234,5
1286,שגב-שלום,SEGEV-SHALOM,-2.215,6
1303,חורה,HURA,-2.203,7
,אל קסום,AL-KASUM,-2.138,8
1060,לקיה,LAQYE,-2.012,9
1161,רהט,RAHAT,-1.916,10
3780,ביתר עילית,BETAR ILLIT,-1.908,11
3660,עמנואל,IMMANU'EL,-1.566,12
922,רכסים,REKHASIM,-1.509,13
511,עילוט,ILUT,-1.499,14
541,ג'סר א-זרקא,JISR AZ-ZARQA,-1.490,15
510,כפר מנדא,KAFAR MANDA,-1.446,16
2710,אום אל-פחם,UMM AL-FAHM,-1.413,17
6100,בני ברק,BENE BERAQ,-1.392,18
1309,אלעד,EL'AD,-1.380,19
,אל - בטוף,AL-BATOF,-1.366,20
2610,בית שמש,BET SHEMESH,-1.338,21
538,שעב,SHA'AB,-1.232,22
1327,מעלה עירון,MA'ALE IRON,-1.229,23
532,עין מאהל,EIN MAHEL,-1.221,24
4001,בוקעאתא,BUQ'ATA,-1.214,25
998,ביר אל-מכסור,BIR EL-MAKSUR,-1.209,26
520,משהד,MESHHED,-1.194,27
522,נחף,NAHEF,-1.181,28
8000,צפת,ZEFAT,-1.181,29
1326,"בסמ""ה",BASMA,-1.180,30
482,בועיינה-נוג'ידאת,BU'EINE-NUJEIDAT,-1.170,31
509,כפר כנא,KAFAR KANNA,-1.156,32
4203,מסעדה,MAS'ADE,-1.144,33
483,בענה,BI'NE,-1.142,34
1137,קריית יערים,QIRYAT YE'ARIM,-1.113,35
975,זרזיר,ZARZIR,-1.109,36
627,ג'לג'וליה,JALJULYE,-1.062,37
3000,ירושלים,JERUSALEM,-1.041,38
4502,עין קנייא,EIN QINIYYE,-1.039,39
46,יבנאל,YAVNE'EL,-1.026,40
4501,ע'ג'ר,GHAJAR,-1.025,41
542,ריינה,REINE,-1.016,42
1292,ג'דיידה-מכר,JUDEIDE-MAKER,-0.993,43
531,עראבה,ARRABE,-0.968,44
504,כאבול,KABUL,-0.958,45
481,מגאר,MUGHAR,-0.944,46
962,טובא-זנגרייה,TUBA-ZANGARIYYE,-0.937,47
978,כעביה-טבאש-חג'אג'רה,KA'ABIYYE-TABBASH-HAJAJRE,-0.931,48
8900,טמרה,TAMRA,-0.922,49
499,יפיע,YAFI,-0.909,50
537,פוריידיס,FUREIDIS,-0.904,51
4201,מג'דל שמס,MAJDAL SHAMS,-0.898,52
,בוסתן אל -מרג',BUSTAN EL-MARJ,-0.884,53
638,קלנסווה,QALANSAWE,-0.872,54
944,בסמת טבעון,BASMAT TAB'UN,-0.868,55
516,מג'ד אל-כרום,MAJD AL-KURUM,-0.860,56
498,טורעאן,TUR'AN,-0.855,57
478,אכסאל,IKSAL,-0.853,58
2730,טייבה,TAYIBE,-0.822,59
3611,קריית ארבע,QIRYAT ARBA,-0.815,60
913,שבלי - אום אל-גנם,SHIBLI-UMM AL-GHANAM,-0.797,61
634,כפר קאסם,KAFAR QASEM,-0.793,62
473,אבו סנאן,ABU SINAN,-0.792,63
502,ירכא,YIRKA,-0.787,64
472,אבו גוש,ABU GHOSH,-0.783,65
8800,שפרעם,SHEFAR'AM,-0.782,66
1296,כסרא-סמיע,KISRA-SUMEI,-0.780,67
529,אעבלין,I'BILLIN,-0.771,68
637,ערערה,AR'ARA,-0.757,69
492,דייר חנא,DEIR HANNA,-0.745,70
7500,סח'נין,SAKHNIN,-0.724,71
246,נתיבות,NETIVOT,-0.716,72
31,אופקים,OFAQIM,-0.703,73
6000,באקה אל-גרביה,BAQA AL-GHARBIYYE,-0.702,74
7300,נצרת,NAZARETH,-0.697,75
99,מצפה רמון,MIZPE RAMON,-0.690,76
633,כפר ברא,KAFAR BARA,-0.668,77
490,דייר אל-אסד,DEIR AL-ASAD,-0.636,78
489,דבורייה,DABURIYYA,-0.625,79
3574,בית אל,BET EL,-0.599,80
1034,קריית מלאכי,QIRYAT MAL'AKHI,-0.553,81
1290,זמר,ZEMER,-0.546,82
480,בית ג'ן,BEIT JANN,-0.543,83
7000,לוד,LOD,-0.522,84
525,סאג'ור,SAJUR,-0.522,85
505,כאוכב אבו אל-היג'א,KAOKAB ABU AL-HIJA,-0.513,86
517,מזרעה,MAZRA'A,-0.503,87
1295,יאנוח-ג'ת,YANUH-JAT,-0.484,88
6700,טבריה,TIBERIAS,-0.476,89
2560,ערד,ARAD,-0.474,90
831,ירוחם,YEROHAM,-0.439,91
2034,חצור הגלילית,HAZOR HAGELILIT,-0.422,92
2720,טירה,TIRE,-0.406,93
7600,עכו,AKKO,-0.380,94
2630,קריית גת,QIRYAT GAT,-0.363,95
496,חורפיש,HURFEISH,-0.329,96
534,עספיא,ISIFYA,-0.328,97
485,ג'ולס,JULIS,-0.326,98
8500,רמלה,RAMLA,-0.297,99
494,דאלית אל-כרמל,DALIYAT AL-KARMEL,-0.294,100
654,כפר קרע,KAFAR QARA,-0.286,101
2200,דימונה,DIMONA,-0.274,102
543,ראמה,RAME,-0.233,103
874,מגדל העמק,MIGDAL HAEMEQ,-0.214,104
9200,בית שאן,BET SHE'AN,-0.204,105
3608,מעלה אפרים,MA'ALE EFRAYIM,-0.185,106
4100,קצרין,QAZRIN,-0.165,107
507,כפר יאסיף,KAFAR YASIF,-0.161,108
1031,שדרות,SEDEROT,-0.152,109
536,פקיעין (בוקייעה),PEQI'IN (BUQEI'A),-0.148,110
628,ג'ת,JATT,-0.137,111
70,אשדוד,ASHDOD,-0.131,112
,שפיר,SHAFIR,-0.106,113
7700,עפולה,AFULA,-0.096,114
3730,גבעת זאב,GIV'AT ZE'EV,-0.084,115
,נחל שורק,NAHAL SOREQ,-0.083,116
530,עיילבון,EILABUN,-0.066,117
,חבל יבנה,HEVEL YAVNE,-0.041,118
2800,קריית שמונה,QIRYAT SHEMONA,-0.037,119
1061,נצרת עילית,NAZERAT ILLIT,-0.033,120
,הגלבוע,HAGILBO'A,-0.030,121
6200,בת ים,BAT YAM,-0.024,122
2100,טירת כרמל,TIRAT KARMEL,-0.020,123
,הר חברון,HAR HEVRON,-0.016,124
7100,אשקלון,ASHQELON,-0.014,125
,מטה בנימין,MATTE BINYAMIN,-0.007,126
1020,אור עקיבא,OR AQIVA,0.000,127
9600,קריית ים,QIRYAT YAM,0.002,128
1247,חריש,HARISH,0.032,129
9000,באר שבע,BE'ER SHEVA,0.039,130
1063,מעלות-תרשיחא,MA'ALOT-TARSHIHA,0.042,131
,חבל אילות,HEVEL ELOT,0.047,132
,מרום הגליל,MEROM HAGALIL,0.063,133
,זבולון,ZEVULUN,0.063,134
3557,קדומים,QEDUMIM,0.086,135
2400,אור יהודה,OR YEHUDA,0.120,136
65,מגדל,MIGDAL,0.125,137
1066,"בני עי""ש",BENE AYISH,0.132,138
469,קריית עקרון,QIRYAT EQRON,0.138,139
,שדות נגב,SEDOT NEGEV,0.171,140
812,שלומי,SHELOMI,0.188,141
7400,נתניה,NETANYA,0.207,142
,מרחבים,MERHAVIM,0.215,143
508,כפר כמא,KAFAR KAMA,0.223,144
,גולן,GOLAN,0.233,145
6800,קריית אתא,QIRYAT ATTA,0.245,146
,גוש עציון,GUSH EZYON,0.246,147
2600,אילת,ELAT,0.247,148
,עמק לוד,EMEQ LOD,0.255,149
6500,חדרה,HADERA,0.268,150
3640,קרני שומרון,QARNE SHOMERON,0.280,151
,עמק המעיינות,EMEQ HAMA'AYANOT,0.285,152
,שומרון,SHOMERON,0.286,153
1139,כרמיאל,KARMI'EL,0.300,154
535,פסוטה,FASSUTA,0.306,155
9100,נהרייה,NAHARIYYA,0.331,156
3616,מעלה אדומים,MA'ALE ADUMMIM,0.355,157
3570,אריאל,ARI'EL,0.360,158
,אשכול,ESHKOL,0.363,159
,רמת הנגב,RAMAT NEGEV,0.369,160
487,ג'ש (גוש חלב),JISH(GUSH HALAV),0.419,161
41,אליכין,ELYAKHIN,0.420,162
,עמק הירדן,EMEQ HAYARDEN,0.432,163
,ערבות הירדן,ARVOT HAYARDEN,0.443,164
6600,חולון,HOLON,0.482,165
9500,קריית ביאליק,QIRYAT BIALIK,0.508,166
,תמר,TAMAR,0.515,167
2660,יבנה,YAVNE,0.524,168
4000,חיפה,HAIFA,0.542,169
,מגידו,MEGIDDO,0.557,170
3650,אפרת,EFRAT,0.557,171
,לכיש,LAKHISH,0.560,172
,הגליל התחתון,HAGALIL HATAHTON,0.562,173
,הגליל העליון,HAGALIL HAELYON,0.582,174
,מנשה,MENASHE,0.590,175
8200,קריית מוצקין,QIRYAT MOTZKIN,0.591,176
565,אזור,AZOR,0.593,177
,מטה אשר,MATTE ASHER,0.616,178
466,בית דגן,BET DAGAN,0.633,179
,חוף אשקלון,HOF ASHQELON,0.640,180
7900,פתח תקווה,PETAH TIQWA,0.648,181
8400,רחובות,REHOVOT,0.656,182
26,ראש פינה,ROSH PINNA,0.669,183
7800,פרדס חנה-כרכור,PARDES HANNA-KARKUR,0.695,184
2640,ראש העין,ROSH HAAYIN,0.700,185
2500,נשר,NESHER,0.716,186
,מטה יהודה,MATTE YEHUDA,0.734,187
,מגילות ים המלח,MEGILLOT DEAD SEA,0.745,188
,משגב,MISGAV,0.747,189
2550,גדרה,GEDERA,0.753,190
166,גן יבנה,GAN YAVNE,0.761,191
2530,באר יעקב,BE'ER YA'AQOV,0.762,192
518,מעיליא,MI'ELYA,0.762,193
,מעלה יוסף,MA'ALE YOSEF,0.772,194
168,כפר יונה,KEFAR YONA,0.776,195
8300,ראשון לציון,RISHON LEZIYYON,0.803,196
,מבואות החרמון,MEVO'OT HAHERMON,0.813,197
240,יקנעם עילית,YOQNE'AM ILLIT,0.840,198
,בני שמעון,BENE SHIM'ON,0.845,199
,באר טוביה,BE'ER TUVEYA,0.858,200
,חבל מודיעין,HEVEL MODI'IN,0.866,201
,הערבה התיכונה,HAARAVA HATIKHONA,0.885,202
3652,בית אריה,BET ARYE,0.886,203
,שער הנגב,SHA'AR HANEGEV,0.927,204
3560,אלקנה,ELQANA,0.964,205
43,מטולה,METULA,0.977,206
,חוף הכרמל,HOF HAKARMEL,1.000,207
,אלונה,ALLONA,1.010,208
9400,יהוד,YEHUD,1.011,209
8600,רמת גן,RAMAT GAN,1.045,210
29,יסוד המעלה,YESUD HAMA'ALA,1.049,211
1015,מבשרת ציון,MEVASSERET ZIYYON,1.058,212
,יואב,YO'AV,1.063,213
,גזר,GEZER,1.073,214
5000,תל אביב -יפו,TEL AVIV - YAFO,1.113,215
681,גבעת שמואל,GIV'AT SHEMU'EL,1.129,216
,עמק חפר,EMEQ HEFER,1.145,217
,לב השרון,LEV HASHARON,1.161,218
6900,כפר סבא,KEFAR SAVA,1.172,219
9300,זכרון יעקב,ZIKHRON YA'AQOV,1.176,220
,עמק יזרעאל,EMEQ YIZRE'EL,1.187,221
3750,אלפי מנשה,ALFE MENASHE,1.192,222
8700,רעננה,RA'ANNANA,1.215,223
6400,הרצלייה,HERZLIYYA,1.221,224
195,קדימה-צורן,QADIMA-ZORAN,1.232,225
28,מזכרת בתיה,MAZKERET BATYA,1.263,226
,ברנר,BRENNER,1.285,227
2300,קריית טבעון,QIRYAT TIV'ON,1.295,228
,חוף השרון,HOF HASHARON,1.302,229
3760,אורנית,ORANIT,1.312,230
7200,נס ציונה,NES ZIYYONA,1.317,231
9800,בנימינה-גבעת עדה,BINYAMINA-GIV'AT ADA,1.322,232
,גן רווה,GAN RAWE,1.324,233
47,כפר תבור,KEFAR TAVOR,1.364,234
122,רמת ישי,RAMAT YISHAY,1.365,235
154,תל מונד,TEL MOND,1.367,236
,דרום השרון,DEROM HASHARON,1.384,237
1200,מודיעין-מכבים-רעות,MODI'IN-MAKKABBIM-RE'UT,1.391,238
229,גני תקווה,GANNE TIQWA,1.411,239
171,פרדסייה,PARDESIYYA,1.419,240
6300,גבעתיים,GIV'ATAYIM,1.453,241
9700,הוד השרון,HOD HASHARON,1.491,242
182,אבן יהודה,EVEN YEHUDA,1.499,243
2620,קריית אונו,QIRYAT ONO,1.540,244
1263,כפר ורדים,KEFAR WERADIM,1.545,245
1268,מיתר,METAR,1.576,246
2650,רמת השרון,RAMAT HASHARON,1.606,247
1304,שוהם,SHOHAM,1.671,248
,גדרות,GEDEROT,1.705,249
3769,הר אדר,HAR ADAR,1.758,250
1224,כוכב יאיר,KOKHAV YA'IR,1.809,251
666,עומר,OMER,1.900,252
1271,להבים,LEHAVIM,1.989,253
267,כפר שמריהו,KEFAR SHEMARYAHU,2.068,254
587,סביון,SAVYON,2.320,255
